subject_id,gold
0,0
1,1
2,2
3,3
4,4
5,0
6,1
7,2
8,3
9,4
10,0
11,1
12,2
13,3
14,4
15,0
16,1
17,2
18,3
19,4
20,0
21,1
22,2
23,3
24,4
25,0
26,1
27,2
28,3
29,4
30,0
31,1
32,2
33,3
34,4
35,0
36,1
37,2
38,3
39,4
40,0
41,1
42,2
43,3
44,4
45,0
46,1
47,2
48,3
49,4
50,0
51,1
52,2
53,3
54,4
55,0
56,1
57,2
58,3
59,4
60,0
61,1
62,2
63,3
64,4
65,0
66,1
67,2
68,3
69,4
70,0
71,1
72,2
73,3
74,4
75,0
76,1
77,2
78,3
79,4
80,0
81,1
82,2
83,3
84,4
85,0
86,1
87,2
88,3
89,4
90,0
91,1
92,2
93,3
94,4
95,0
96,1
97,2
98,3
99,4
